Roster

  System.X
  autoregulation.total_peripheral_resistance
  autoregulation.tpr_limit
  autoregulation.tpr_slope
  autoregulation.tpr_setpoint
  baroreceptor_reflex.affna
  baroreceptor_reflex.sympathetics
  fluids.total_body_water
  fluids.intake
  fluids.distribution
  fluids.extracellular
  fluids.intracellular
  fluids.blood_volume
  fluids.ideal_blood_volume
  fluids.unstressed_blood_volume
  heart.cardiac_output
  cardiac_output.plateau_multiplier
  cardiac_output.setpoint
  cardiac_output.ideal_cardiac_output
  cardiac_output.plateau
  heart.right_atrial_pressure
  heart.stroke_volume
  heart.mcfp_slope
  heart.mean_circulatory_filling_pressure
  heart.resistance_to_venous_return
  blood_flow.blood_flow
  renal_function.MAP_ideal
  renal_function.mean_arterial_pressure
  renal_function.bn
  renal_function.a_n
  renal_function.base_n
  renal_function.urine_output
  energy.energy_excess
  energy.ToWeightGain
  energy.metabolic_need/min
  energy.energy_excess
  growth.height
  growth.body_surface_area
  weight.calculated_weight
  weight.ideal
  weight.dry_percent
  weight.dry
  weight.real
0,0.0287139333353565,0.06,0.000175109185364515,475.893558409646,0.455625,1.5776886447998,3500,0.452211805555556,0.670467,1404.77752628457,2095.22247371543,463.576583673907,475.893558409646,277.707018597369,1048.91804601472,1.06157003591585,2.0418,1175,1247.34479220113,-1.48574699225909,6.99278697343147,0.0773549765379271,14.3779358456103,0.0050348,92.3047880492954,43,40.4709748483297,0.218776454861111,0.0218776454861111,1.05500814843655,0.301444484433184,0,0.0045,-0.228127824286136,0,21,0.268737647586165,1.2,4.77981099134886,0.26,1.2427508577507,4.74275085775071,
1,0.0174350405076774,0.0600020105527901,0.000175110051398069,475.891204805234,1.34977213214108,0.957671203129374,3499.97484358997,0.452209426535883,0.670465243055556,1404.76522570654,2095.20961788342,463.57252448316,475.891204805234,277.708309485295,1247.2631889316,1.06157206408294,2.04180312927296,1174.99381849814,1247.34061318777,2.85364801846889,8.31508792621067,0.0469553990086818,8.72732837666015,0.00397678102173916,109.759160625981,43.0003703703704,24.4684497395263,0.218775315310688,0.0218775315310688,1.05500766184229,0.077668257292795,8.35795502995557,0.00449993923734184,-0.228127575210594,8.35795502995557,21.0000231481481,0.268737285094855,1.20000043040261,4.7798332097297,0.260000703709766,1.24275999814503,4.74273484173499,
2,0.0174545134070329,0.0600040209659655,0.000175112272246472,475.885169350331,1.34163894979753,0.958442723445227,3499.91299382398,0.452203614580916,0.670463486111111,1404.73819777269,2095.17479605129,463.563605264987,475.885169350331,277.709600365275,1247.25091993251,1.06157409226628,2.04180625870297,1174.97871706337,1247.32696499874,2.86902951608127,8.31500613288342,0.0469938232737653,8.73399026097857,0.0039773475576376,109.758080954061,43.0007407407407,24.4987592312866,0.218772531384259,0.0218772531384259,1.05500717525663,0.0778552186744373,14.8659980903182,0.00449987847714501,-0.22812673954769,14.8659980903182,21.0000462962963,0.268735820644318,1.2000018744295,4.77985542797374,0.260001407403242,1.2427691384572,4.74268213228118,
3,0.0174618686457053,0.060006031239538,0.00017511432687017,475.879585769796,1.34054445504982,0.958548697135022,3499.85564738745,0.452198311740691,0.670461729166667,1404.71297738243,2095.14267000502,463.555282536203,475.879585769796,277.710891237307,1247.23924175777,1.06157612046586,2.04180938829003,1174.96493848177,1247.31472107688,2.87544335172153,8.31492827838512,0.0469995707639019,8.73460661992672,0.00397763339379526,109.757053274684,43.0011111111111,24.5126094151235,0.218769991323791,0.0218769991323791,1.05500668867958,0.0779198100227708,19.8653230279877,0.00449981771940938,-0.22812544782052,19.8653230279877,21.0000694444444,0.268734491424166,1.20000410653961,4.77987764608101,0.260002111080431,1.24277827868722,4.74263392607467,
4,0.0324400140720299,0.0600080413735195,0.000175118939488328,475.867051141476,0.308164839636258,1.78020344506589,3499.72902638402,0.452186400084417,0.670459972222222,1404.65995284716,2095.06907353686,463.537784439563,475.867051141476,277.712182101392,1247.25576446162,1.06157814868168,2.04181251803413,1174.93398794941,1247.28424775052,3.76628674214629,8.3150384297441,0.087289255024554,16.2205783925879,0.00398264414125521,109.758507272622,43.0014814814815,25.5376516696251,0.218764285640436,0.0218764285640436,1.05500620211113,0.152870777700777,23.7412787941603,0.00449975696413477,-0.2281238165352,23.7412787941603,21.0000925925926,0.268731081743418,1.2000069254136,4.77989986405149,0.260002814741332,1.2427874188351,4.74251644521912,
5,0.031593540407435,0.0600100513679218,0.000175118058393772,475.869445434058,0.344723671860869,1.7332137760333,3499.75118776618,0.452188848342256,0.670458215277778,1404.66664404162,2095.08454372456,463.539992533736,475.869445434058,277.71347295753,1247.29324615973,1.06158017691376,2.04181564793529,1174.94034935556,1247.29338393198,11.1670066532394,8.31528830773153,0.084984768747281,15.7924237932959,0.00467457202833596,109.761805662056,43.0018518518519,51.4313545383178,0.218765458355941,0.0218765458355941,1.05500571555129,0.59546657311879,26.7262720990792,0.00449969621132104,-0.228121915945504,26.7262720990792,21.0001157407407,0.268732140276476,1.20001020965604,4.7799220818852,0.260003518385946,1.24279655890083,4.74254774666701,
6,0.0173833398783749,0.0600120612227567,0.000175113348547798,475.882244411464,1.40373370749625,0.953350032070328,3499.8770433143,0.452201308848415,0.670456458333333,1404.71495402151,2095.16208929279,463.555934827098,475.882244411464,277.714763805722,1247.32997349019,1.06158220516207,2.0418187779935,1174.9727259865,1247.33013745804,9.67111303661242,8.31553315660125,0.0467444086071161,8.68703563424817,0.00461211383067081,109.765037667137,43.0022222222222,48.2673518651412,0.218771426938391,0.0218771426938391,1.05500522900005,0.276491339723245,29.0092004733971,0.00449963546096803,-0.228119803133559,29.0092004733971,21.0001388888889,0.268736312920316,1.2000138606317,4.77994429958213,0.260004222014274,1.24280569888442,4.74268274219871,
7,0.0313897107110172,0.0600140709380362,0.000175115424199303,475.876603756444,0.353930313529032,1.72096444044757,3499.81912815736,0.452196113522737,0.670454701388889,1404.68950551781,2095.12962263955,463.547536820878,475.876603756444,277.716054645966,1247.28964067008,1.06158423342664,2.04182190820877,1174.95922676424,1247.31819005207,3.76400286005796,8.31526427113387,0.0843828770458498,15.6809951116136,0.00398332326203896,109.761488378967,43.0025925925926,25.5541091068659,0.218768938377391,0.0218768938377391,1.05500474245742,0.147911974457712,30.7804174898696,0.00449957471307558,-0.228117535647309,30.7804174898696,21.000162037037,0.268734966607864,1.2000177788996,4.77996651714228,0.260004925626317,1.24281483878586,4.74263396694322,
8,0.0174166773609267,0.0600160805137721,0.000175110999583816,475.888627963923,1.38625190261624,0.95458675406081,3499.93726301293,0.452207877834321,0.670452944444444,1404.73471651023,2095.2025465027,463.562456448376,475.888627963923,277.717345478265,1247.35282113451,1.06158626170744,2.04182503858111,1174.98979444501,1247.35302342927,9.35959825323373,8.31568547423009,0.0468044193940565,8.69837251618007,0.00457974329747479,109.767048259837,43.002962962963,47.0913742297267,0.21877457348264,0.021877457348264,1.0550042559234,0.259947132032176,32.1351078565683,0.00449951396764352,-0.22811514224505,32.1351078565683,21.0001851851852,0.268738907353799,1.2000219147671,4.77998873456565,0.260005629222076,1.24282397860518,4.7427612416181,
9,0.0309658937727507,0.0600180899499761,0.000175114985510074,475.877795898508,0.371867478381216,1.69667759458029,3499.82760974261,0.452197741762656,0.6704511875,1404.6885024572,2095.13910728541,463.547205810875,475.877795898508,277.718636302616,1247.29941936609,1.06158829000449,2.04182816911052,1174.96345748507,1247.32744764934,3.78188492545807,8.31532946244061,0.0831918282692548,15.4594184420523,0.00398565741683969,109.762348904216,43.0033333333333,25.6345444768727,0.218769718304312,0.0218769718304312,1.05500376939798,0.146451060122764,33.1651588564377,0.00449945322467172,-0.228112650726408,33.1651588564377,21.0002083333333,0.26873600726876,1.20002622019766,4.78001095185226,0.260006332801551,1.24283311834235,4.74266072808497,
